year,league,category,statistic,player,team,value
2021,NL,hitting,Home,Runs Fernando,Tatis Jr. San Diego Padres,42
2021,NL,hitting,On,Base Percentage,Juan Soto Washington Nationals,.465
2021,NL,hitting,RBI,Adam Duvall,Miami Marlins,113
2021,NL,hitting,Runs,Freddie Freeman,Atlanta Braves,120
2021,NL,hitting,Slugging,Average Bryce,Harper Philadelphia Phillies,.615
2021,NL,hitting,Stolen,Bases Trea,Turner Washington Nationals,32
2021,NL,hitting,Total,Bases Trea,Turner Washington Nationals,319
2021,NL,hitting,Triples,David Peralta,Arizona Diamondbacks,8
2021,NL,hitting,Bryan,Reynolds Pittsburgh,Pirates,8
2021,NL,pitching,Complete,Games German,Marquez Colorado Rockies,3
2021,NL,pitching,Adam,Wainwright St.,Louis Cardinals,3
2021,NL,pitching,Zack,Wheeler Philadelphia,Phillies,3
2021,NL,pitching,ERA,Corbin Burnes,Milwaukee Brewers,2.43
2021,NL,pitching,Games,Tyler Rogers,San Francisco Giants,80
2021,NL,pitching,Saves,Mark Melancon,San Diego Padres,39
2021,NL,pitching,Shutouts,Anthony DeSclafani,San Francisco Giants,2
2021,NL,pitching,Max,Fried Atlanta,Braves,2
2021,NL,pitching,Joe,Musgrove San,Diego Padres,2
2021,NL,pitching,Zack,Wheeler Philadelphia,Phillies,2
2021,NL,pitching,Strikeouts,Zack Wheeler,Philadelphia Phillies,247
2021,NL,pitching,Winning,Percentage Julio,Urias Los Angeles Dodgers,.870
2021,NL,pitching,Wins,Julio Urias,Los Angeles Dodgers,20
2022,AL,hitting,Base on,Balls Aaron,Judge New York Yankees,111
2022,AL,hitting,Batting,Average Luis,Arraez Minnesota Twins,.316
2022,AL,hitting,Hits,Bo Bichette,Toronto Blue Jays,189
2022,AL,hitting,Home,Runs Aaron,Judge New York Yankees,62
2022,AL,hitting,On,Base Percentage,Aaron Judge New York Yankees,.425
2022,AL,hitting,RBI,Aaron Judge,New York Yankees,131
2022,AL,hitting,Runs,Aaron Judge,New York Yankees,133
2022,AL,hitting,Slugging,Average Aaron,Judge New York Yankees,.686
2022,AL,hitting,Stolen,Bases Jorge,Mateo Baltimore Orioles,35
2022,AL,hitting,Total,Bases Aaron,Judge New York Yankees,391
2022,AL,hitting,Triples,Amed Rosario,Cleveland Guardians,9
2022,AL,pitching,Complete,Games Framber,Valdez Houston Astros,3
2022,AL,pitching,ERA,Justin Verlander,Houston Astros,1.75
2022,AL,pitching,Games,Adam Cimber,Toronto Blue Jays,77
2022,AL,pitching,Emmanuel,Clase Cleveland,Guardians,77
2022,AL,pitching,Saves,Emmanuel Clase,Cleveland Guardians,42
2022,AL,pitching,Shutouts,Dylan Cease,Chicago White Sox,1
2022,AL,pitching,Nestor,Cortes New,York Yankees,1
2022,AL,pitching,Reid,Detmers Los,Angeles Angels,1
2022,AL,pitching,Nathan,Eovaldi Boston,Red Sox,1
2022,AL,pitching,Dean,Kremer Baltimore,Orioles,1
2022,AL,pitching,Patrick,Sandoval Los,Angeles Angels,1
2022,AL,pitching,Framber,Valdez Houston,Astros,1
2022,AL,pitching,Michael,Wacha Boston,Red Sox,1
2022,AL,pitching,Strikeouts,Corbin Burnes,Milwaukee Brewers,243
2022,AL,pitching,Winning,Percentage Justin,Verlander Houston Astros,.818
2022,AL,pitching,Wins,Justin Verlander,Houston Astros,18
2022,NL,hitting,Base on,Balls Juan,Soto Washington Nationals,135
2022,NL,hitting,Batting,Average Jeff,McNeil New York Mets,.326
2022,NL,hitting,Doubles,Freddie Freeman,Los Angeles Dodgers,44
2022,NL,hitting,Hits,Freddie Freeman,Los Angeles Dodgers,11
2022,NL,hitting,Home,Runs Kyle,Schwarber Philadelphia Phillies,46
2022,NL,hitting,On,Base Percentage,Freddie Freeman Los Angeles Dodgers,.407
2022,NL,hitting,RBI,Pete Alonso,New York Mets,131
2022,NL,hitting,Runs,Mookie Betts,Los Angeles Dodgers,117
2022,NL,hitting,Freddie,Freeman Los,Angeles Dodgers,117
